DATE,lat,long,easting,northing,FloodProb
2019-03-16,54.10291935,-2.67034149,356264.5783,467655.6791,High
2019-03-16,54.10291935,-2.67034149,356264.5783,467655.6791,High
2019-03-17,54.10291935,-2.67034149,356264.5783,467655.6791,High
2019-03-17,54.10291935,-2.67034149,356264.5783,467655.6791,High
2019-03-17,54.10291935,-2.67034149,356264.5783,467655.6791,High
2019-03-17,53.85855671,-2.783633847,348555.7365,440544.0115,Zero
2019-03-17,53.85855671,-2.783633847,348555.7365,440544.0115,Zero
2019-03-17,53.85855671,-2.783633847,348555.7365,440544.0115,Zero
2019-03-17,53.85855671,-2.783633847,348555.7365,440544.0115,Zero
2019-03-17,53.85855671,-2.783633847,348555.7365,440544.0115,Zero
2019-03-17,53.75386052,-2.667298148,356097.8254,428817.4641,High
2019-03-17,53.75386052,-2.667298148,356097.8254,428817.4641,High
2019-03-20,53.75386052,-2.667298148,356097.8254,428817.4641,High
2019-03-20,53.81510029,-2.520870886,365802.7264,435550.1257,Medium
2019-03-21,53.81510029,-2.520870886,365802.7264,435550.1257,Medium
2019-03-21,53.81510029,-2.520870886,365802.7264,435550.1257,Medium
2019-03-21,53.81510029,-2.520870886,365802.7264,435550.1257,Medium
2019-03-21,53.81510029,-2.520870886,365802.7264,435550.1257,Medium
2019-03-21,53.21533532,-1.704071986,419858.7724,368738.2955,Zero
2019-03-21,53.21533532,-1.704071986,419858.7724,368738.2955,Zero
2019-03-21,53.21533532,-1.704071986,419858.7724,368738.2955,Zero
2019-03-21,53.21533532,-1.704071986,419858.7724,368738.2955,Zero
2019-03-21,53.21533532,-1.704071986,419858.7724,368738.2955,Zero
2019-03-21,53.21533532,-1.704071986,419858.7724,368738.2955,Zero
2019-03-22,53.26966216,-0.763314242,482574.3857,375454.457,Low
2019-03-22,53.26966216,-0.763314242,482574.3857,375454.457,Low
2019-03-22,53.26966216,-0.763314242,482574.3857,375454.457,Low
2019-03-22,53.26966216,-0.763314242,482574.3857,375454.457,Low
2019-03-22,53.26966216,-0.763314242,482574.3857,375454.457,Low
2019-03-22,53.26966216,-0.763314242,482574.3857,375454.457,Low
2019-03-22,50.85217177,-3.89746775,266530.2042,107566.4882,Zero
2019-03-22,50.85217177,-3.89746775,266530.2042,107566.4882,Zero
2019-03-22,50.85217177,-3.89746775,266530.2042,107566.4882,Zero
2019-03-23,50.85217177,-3.89746775,266530.2042,107566.4882,Zero
2019-03-23,53.28347098,-0.373969483,508503.878,377510.3867,Zero
2019-03-23,53.28347098,-0.373969483,508503.878,377510.3867,Zero
2019-03-23,52.87678174,-1.733365814,418042.5184,331068.0218,Low
2019-03-23,52.87678174,-1.733365814,418042.5184,331068.0218,Low
2019-03-23,52.87678174,-1.733365814,418042.5184,331068.0218,Low
2019-03-23,52.87678174,-1.733365814,418042.5184,331068.0218,Low
2019-03-24,52.87678174,-1.733365814,418042.5184,331068.0218,Low
2019-04-02,52.87678174,-1.733365814,418042.5184,331068.0218,Low
2019-04-02,52.94100823,-1.279398966,448523.9866,338422.4077,Low
2019-04-02,52.94100823,-1.279398966,448523.9866,338422.4077,Low
2019-04-03,52.94100823,-1.279398966,448523.9866,338422.4077,Low
2019-04-03,52.94100823,-1.279398966,448523.9866,338422.4077,Low
2019-04-04,52.94100823,-1.279398966,448523.9866,338422.4077,Low
2019-04-04,52.94100823,-1.279398966,448523.9866,338422.4077,Low
2019-04-08,52.94100823,-1.279398966,448523.9866,338422.4077,Low
2019-04-08,52.41789637,-1.715642305,419436.5601,280027.0852,Zero
2019-04-08,52.41789637,-1.715642305,419436.5601,280027.0852,Zero
2019-04-09,52.41789637,-1.715642305,419436.5601,280027.0852,Zero
2019-04-27,52.41789637,-1.715642305,419436.5601,280027.0852,Zero
